Title	Release Year	Genre	Director	Cast	Plot	Origin/Ethnicity
Pink and Gray	2016	drama	Isao Yukisada	Yuto Nakajima, Masaki Suda, Kaho, Yukino Kishii, Yuya Yagira	"The film opens with the suicide of Shingo Suzuki and the subsequent discovery of his body by his best friend, Daiki Kawada, who informs their mutual friend Sari Ishikawa before he reports the event to the authorities. The film then cuts to fourteen years earlier, on the day Daiki first met Shingo.
Coming from the Kansai region, Daiki has to adjust his life when his family decide to move to rural Saitama Prefecture. He befriends locals Shingo and Sari, also known as ""Gocchi"" and ""Sally"", who in turn nickname him ""Riba-chan"". Sally eventually has to move away just as she and Daiki are becoming close to each other. Shingo in the meantime experiences a tragedy when his ballerina older sister, Yui, is fatally injured during a performance.
Daiki and Shingo move to Tokyo after high school graduation and are scouted by a modeling agency, which introduces them to the showbiz world. They reunite with Sally and choose to live next door to her. As time goes on, it is apparent that Shingo, who adopts the stage name ""Rengo Shiraki"", is the more talented of the duo. The two friends begin to drift apart as Daiki accuses Shingo of distancing himself from his friends in favor of the life of a celebrity. Eventually, they separate and have no contact for three years, during which Daiki and Sally become a couple, until their high school reunion. The two have a drink and exchange each other a lighter. Shingo promises that he will soon make Daiki famous; in exchange, he wants Daiki to take care of Sally. As he is drunk, Daiki accepts the promise but does not remember it the next day. To his horror, he finds out that Shingo fulfills the promise by committing suicide and passing his identity to Daiki.
It is revealed that all previous events of the film are a film within a film (symbolized by the film switching from color to black and white), based on an autobiography the real Daiki, whose actual name is Dai Kawatori, wrote after the real Shingo's death. The Shingo of the film is played by Dai himself, while ""Daiki"" and ""Sally"" are played by actors Ryo Naruse and Rei Mikami, respectively. Dai has been suffering from the burden of carrying Shingo's persona and the showbiz world in general. He gets into trouble when he has brawl with Naruse when he finds out that the latter photographed him kissing Mikami after a one-night stand and gave the result to Sally; to exit out of the controversy, Dai quits from the persona altogether.
Dai returns to Saitama to meet with Shingo's mother, who gives him a tape recorded just before Yui's fatal performance. He is shocked to find that the event was not an accident: Yui had considered a suicide pact with Shingo, with whom she apparently had an incestuous relationship, and that Shingo's suicide, which happened on the same date as Yui's, was a way to fulfill it. Dai visits Shingo's apartment and tries to hang himself, but fails. Shingo's spirit appears and confirms what the tape shows, saying that Dai may not fully understand it. As the two hug, the film returns to color.
The film ends with Dai running towards a billboard memorializing Shingo. He throws Shingo's lighter towards it and says ""Take that""."	Japanese
Draft Day	2014	drama	Ivan Reitman	"Kevin Costner
Jennifer Garner
Denis Leary
Frank Langella"	"On the morning of the 2014 NFL Draft, Cleveland Browns general manager Sonny Weaver Jr. must decide how to use the seventh overall pick to improve the team, but he has other problems on his mind. His girlfriend Ali Parker, the team's salary cap analyst, is pregnant. Also, his father's recent death and funeral plans cause pandemonium with his mother.
The Seattle Seahawks hold the first overall pick, which general manager Tom Michaels offers to trade to the Browns, allowing them to draft highly-rated quarterback prospect Bo Callahan, the Heisman Trophy winner from Wisconsin. Sonny declines, but with advice from team owner Anthony Molina to ""make a splash,"" reluctantly trades away the Browns' first-round draft picks for the next three years. The unexpected chance to obtain Callahan excites Browns fans, but splits the team's front office and players.
The trade goes public after a tweet by Ohio State linebacker Vontae Mack, who had been Sonny's first preference. Seahawks fans are unhappy at missing Callahan, putting pressure on Tom for giving Callahan up. Vontae advises Sonny to re-watch footage of him and Callahan playing against each other. Vontae's individual performance is superior but Callahan leads his team to victory on a last-second drive with a wrongly-ejected Vontae not on the field. Sonny begins to have doubts about Callahan's character and ability under pressure. When the draft begins that evening, Sonny waits until the last minute to decide who to select with the first pick, and eventually chooses Vontae. Roger Goodell's announcement of the selection shocks the rest of the league and disrupts many of their plans for their own picks. Molina becomes irate and flies back to Cleveland, intent on firing Sonny. Head coach Vince Penn is also incensed, and threatens to resign.
Rumors spread about Callahan as other teams avoid him, wondering why Sonny didn't pick him. However, the Seahawks are still in contention to pick Callahan with their seventh pick, and Sonny senses an opportunity. Sonny convinces the rookie general manager of the Jacksonville Jaguars to trade him their next pick (at sixth, just before the Seahawks) in exchange for the Browns' second-round draft picks for the next three years. Sonny then calls Tom, who intends to pick Bo Callahan at seventh, trying to prevent the Seahawks from having him. In return for passing on Callahan to let the Seahawks have him, Sonny demands his first-round picks back, along with punt returner David Putney. The Seahawks seal the deal and choose Callahan. With his pick, Sonny appeases Penn and Molina by selecting the skilled running back Ray Jennings of Florida State.
The team celebrates an outstanding draft for the Browns. After the draft party, Sonny reconciles with his mother over his excellent draft performance and her soon-to-be first grandchild."	American
Cook Up a Storm	2017	drama	Raymond Yip	Jung Yong Hwa, Ge You, Nicholas Tse, Tiffany Tang	"The story focuses on two young talented chefs, Sky Ko (Nicholas Tse), a southern-style Chinese chef, and Paul Ahn (Jung Yong-hwa), a Michelin-starred Korean chef trained in France. Both with reasons to climb the culinary ladder as top chefs. In the past, when Sky was ten years old, his father, Mountain Ko ( Anthony Wong), left him behind with his friend, Uncle Seven (Ge You), master chef of Seven Restaurant. When asked why, Mountain told Sky that he has no talent as a cook and Mountain would only take him back if he can prove to be a great cook. In reality though, Mountain chose to pursue his culinary career over being a father and made the excuse that Sky can't even make a decent bowl of noodles right to make him a worthy son. Because of that, Sky spent the next twenty years to become a great chef under Uncle Seven's training. On the other side, Paul made a promise to his dying father that he would become a great cook. Through that journey, he became a highly successful chef in Europe and decided to run his own restaurant in Hong Kong, Stellar. However, this would bring conflicts to both Paul and Sky.
In an old area of Hong Kong, Sky is now an acclaimed chef at Seven. However, the Li Management Group arrived and started buying various properties of the old sector, including developing Stellar for Paul. The opening of Stellar proved to be a threat to Sky as these two chefs find themselves fighting for the best ingredients in the markets and maintaining their clientele. Stellar's fine haute cuisine represented a form of aggressive gentrification to the neighborhood and a threat to traditional Chinese cuisine. Their rivalry began with a challenge for the best fish and the culinary masters agreed to face each other in a culinary duel. Sky made a traditional salt-baked duck while Paul made a foie gras sorbet. While both tied in points, the judges gave victory to Paul as his dish presentation was superior to Sky's bland plating. Although the victory should've solidified Paul's abilities as a cook, things didn't go as expected.
Mayo is Paul's sous chef and girlfriend. It was while celebrating their victory that the manager of Li Group tells Paul he wants to replace him with Mayo, reasoning that a woman is far more appealing on media than a man. Betrayed and confused, Paul tried to defend his position as head chef, but Mayo exposed his dark secret: he can't taste everything. Paul has problems tasting certain flavors, especially saltiness. To compensate, he would utilize a notebook that contains all his recipes and have others test taste to compensate for his poor sense of taste. To make matters worse, the manager announces that he and Mayo are romantically involved. Mayo explained to Paul that she never loved him and only sided with him to surpass him. Now that she can take the title as executive chef of Stellar, she doesn't need Paul anymore. Angry that he has lost everything, Paul left.
It was while at an event stadium, Sky would bump into Paul drinking. Both shared their past and troubles and found mutual respect for each other. Both have a common goal of reaching to the culinary top and decided to team up. At Seven, the Li Group wants Uncle Seven to sign away his restaurant as the group is buying off the old sector to make it their own. Unrelenting to surrender, Uncle Seven refused. It was then Paul and Sky appeared, announcing their partnership. Paul reminded the manager that he was the winner of the competition, which makes him eligible to compete at the culinary championship, not the Li Group. Surprised by that technicality, the Li Group left, not before the manager called Paul a traitor. Sky would train Paul in the ways of Chinese cooking as well as developing Paul's limited palate to help create something new for the competition.
In Macau, at the Studio City Casino, attending the 7th International Culinary Competition, Sky and Paul use both their culinary strengths to compete against four other great chefs. Whoever wins the competition will gain the chance to face the current God of Cookery, Mountain Ko. In this competition, they have a French team, Indian team, a Japanese chef, and Mayo to face off. Mayo somehow still got into the competition and now uses her training against Paul. The French team made a roasted squab dish, the Indian team made a five-flavor curry, the Japanese chef made koi nigiri, Mayo made an oyster dish with frozen foam, and the duo made a deconstructed mapo tofu. Paul used Sky's sense of taste to help him determine the flavor of the ingredients they used to cook and Sky relied on Paul's knowledge of molecular science and culinary artistry to create a traditional dish with a modern design. The winner goes to Paul and Sky. Although Paul had limited tasting ability, his artistry and cooking imagination exceeds Mayo and she lost, visibly embarrassed.
The next round is to face Chef Ko. Paul pointed out only one chef can compete against Mountain and he realized Sky's desire to beat Mountain was a very personal one. Grateful he managed to make it this far with his condition, Paul gave Sky the chance to face his father. In the final competition, Sky finally faces his father and the judges allow the two to cook anything they wanted as long as it is considered the highest expression of cooking. While Mountain began cooking, Sky was at a stand, thinking about how Seven and the people in the neighborhood means the most to him. Mountain angrily splashed water at his son's face, demanding him to focus and show him something. Mountain created a beautiful artistic sugar display of molten lava with a single flower on top. Sky went for something far more personal, it was a personal interpretation of the original noodle dish that Mountain made all those years ago before abandoning Sky. Before the judges could even score the dish, Sky gave the bowl of noodles to Mountain and he was moved as he remembered what the noodles meant. Acknowledging his skills as a chef, Mountain called his son brilliant before Sky walked off the stage. Mountain would continue to emotionally eat his noodles, unclear of a victor.
Some time has passed and the people at Seven are getting ready for a poon choi Chinese New Year party with the neighborhood's people. Much of the ending is left to personal interpretation, as the culinary championship, personal relations, and the fate of the neighborhood are left unresolved. The movie ends with the staff of Seven announcing: We wish you all 2017 a happy rooster year!"	Chinese
Mojin: The Lost Legend	2015	drama	Wuershan	Chen Kun, Huang Bo, Shu Qi, Angelababy, Xia Yu, Liu Xiaoqing, Cherry Ngan	At the beginning of the 1990s, famous tomb explorer Hu Bayi, Wang Kaixuan and Hu's fiancée Shirley Yang decided to retire to Manhattan. After a supposedly split of the team, Wang Kaixuan was pulled into a deal to locate the ancient tomb of a Mongolian princess. Hu Bayi have been having recurring nightmare of his first love, Ding Sitian, who had supposedly died 20 years ago in an underground tomb beneath the Mongolian plains. The team is lured back to their original vocation by a mysterious, businesswoman/cult leader Ying Caihong who wants them to find the ancient tomb of a Mongolian princess. They eventually learn that what she really wants is to possess a famed artifact known as the Equinox Flower that allegedly has the power to raise the dead.	Chinese
Chorus	2015	drama	François Delisle	Sébastien Ricard, Fanny Mallette, Geneviève Bujold, Pierre Curzi	One afternoon, Hugo, son of Christophe and Irene disappeared, and the life of the married couple would shatter. After 8 years, the searches found nothing, as the two got a divorce, and lived their own lives apart, with Christophe moving to Mexico.[3]	Canadian
Natasha	2015	drama	David Bezmozgis	Alex Ozerov, Sasha K. Gordon, Deanna Dezmari, Genadijs Dolganovs	Mark Berman (Alex Ozerov), an idealistic Jewish Canadian teenager in Toronto is seduced into a torrid affair by the mysteriously appearing but extremely ruthless Natasha (Sasha K. Gordon), the daughter of his uncle Fima's new Russian mail-order bride who has been living a double life as a sex worker since childhood.[2] Although the original short story took place in the 1980s, for the film Bezmozgis updated the temporal setting to the present day in order to explore the impact of contemporary technology, such as the internet, on the story.[3]	Canadian
Mobile Suit Gundam Thunderbolt: Bandit Flower	2017	drama	Kō Matsuo	Yuichi Nakamura, Toa Yukinari, Daisuke Hirakawa, Shunsuke Sakuya, Tomokazu Sugita, Toa Yukinari	"The series takes place concurrently with Mobile Suit Gundam, during the One Year War. In U.C. 0079, the Earth Federation's Moore Brotherhood and the Principality of Zeon's Living Dead Division engage in a fierce battle in the ""Thunderbolt Sector"" (サンダーボルト宙域, Sandāboruto Chū-iki), a shoal zone littered with debris from destroyed space colonies, named for the frequent electrical discharges. Since the outbreak of the war, Zeon forces have secured the Thunderbolt Sector, as it is a vital supply route to the A Baoa Qu asteroid fortress. The story focuses on Federation soldier Io Fleming as he battles Zeon's best sniper, Daryl Lorenz."	Japanese
Two Lovers and a Bear	2016	drama	Kim Nguyen	Dane DeHaan, Tatiana Maslany, Gordon Pinsent	"The film follows the lives of Roman and Lucy, two people living difficult lives in a small, frozen town of Apex, Nunavut, Canada.[4] They are in love, but Lucy tells Roman that she must leave as a stalker has followed her. Roman tells her that he cannot leave and go south again, because of dark things in his own past. He tries to get her to go without him, and is even pushed to the brink of suicide. Eventually, he knows that he must go with her.
Roman can talk to bears which only he, it seems, can hear talking back, and a polar bear who talks to him about life makes several appearances in the story. On their snowmobile journey south, they are warned of a blizzard, but seek shelter in an abandoned military base instead of going back. Lucy comes to believe that her stalker has followed them there. It is then revealed that the stalker is in her mind, her dead abusive father. Roman burns the military base in order to prove that her father is now dead forever and can no longer follow her.
Seeking shelter in a snow cave, Roman and Lucy talk about a herd of caribou that they had found frozen in a lake earlier in their journey. They compare their lives to these animals, being led on a path and unable to get off, with all of them drowning. As the lovers begin to succumb to the intense temperature, the bear appears again, revealing that he is God and promising to Roman that he and Lucy will see each other again. The final scene shows the lovers' now dead, frozen bodies being cut out of the snow and lifted away by a helicopter."	Canadian
Never Gone	2016	drama	Zhou Tuoru	Kris Wu, Liu Yifei, Jin Shijia, Li Qin, Li Meng, Hao Shaowen, Chen Ran, Qiao Renliang	"Su Yunjin (Liu Yifei) and Cheng Zheng (Kris Wu) meet in high school. Su Yunjin is a transfer student from a struggling family, while rich heir Cheng Zheng is the popular star student. Cheng Zheng falls in love with Su Yunjin and pursues her through college, even when they study and live in different cities. Su Yunjin is worried about the difference in their economic status, though this doesn't worry Cheng Zheng. She decides to give it a chance and the two move in together after graduation. Two years pass in bliss; however, the issue of money drives a wedge between them, as Su Yunjin refuses to take Cheng Zheng's financial help for her mother's operation, and Cheng Zheng is angered when she goes instead to her ex for help. The two break up, and Cheng Zheng moves to America to help with his family's company.
After some time passes, Su Yunjin realizes she truly loves Cheng Zheng and for the first time, she is the one to seek out Cheng Zheng rather than the other way around."	Chinese
Peach Girl and GJS Returns 4 Trilogy	2017	drama	Koji Shintoku	Mizuki Yamamoto, Kei Inoo, Mackenyu, Mei Nagano, Yuika Motokariya, Kensei Mikami	"Momo Adachi is a former member of the high school swim team. She tans easily and her hair is bleached out; unfortunately, she is stereotyped by her ignorant classmates and is forced to endure rumors about being an ""easy girl"" who has had many sexual relationships. Her only friend is Sae, who is actually responsible for spreading the nasty gossip due to her jealousy of Momo. Momo is in love with Toji, a taciturn baseball player, but the scheming Sae also has her sights set on the boy. Momo's life is further complicated with the introduction of Kairi Okayasu, a wise-cracking playboy who is determined to make her his. He reveals to Momo that she had saved him from drowning the summer before high school started.
Things become even more complicated when Sae, in an attempt to make Momo miserable, spreads rumors about Momo and Kairi making out. The rumor about the kiss between the two is true, but it was Kairi who initiated it while Momo remained stunned by the interaction. When Toji is hospitalized, Sae convinces Toji to break up with Momo. Thanks to Kairi, he finds out about all the lies and rumors Sae has made up. Toji saves Momo from being bullied (thanks to Sae's lies again) and tells the truth about him and Momo, resulting in the students apologizing to Momo and hating Sae. Toji and Momo get back together, but Sae later tries to complicate their relationship again by threatening to discredit Momo with her newly acquired access to the mass media. Though Toji is initially defiant, he reluctantly breaks up with Momo to protect her. Momo is heartbroken at first, particularly due to not knowing that it is part of Sae's schemes. However, she eventually begins dating Kairi, whom she had previously considered annoying, and soon begins to fall in love with him. When it is revealed to Momo why Toji broke up with her, Momo is left to choose between Toji and Kairi. More problems arise and the love triangle intensifies.
In ""Sae's Story"", Sae is left back a year, for she was always skipping classes. She is too stubborn so she goes to Momo's and Kairi's university every day. Toji goes to a good university by himself. Sae then meets one of her childhood sweethearts, Kanji (or Monkey Boy), who left for Malaysia when they were young, and promised to marry Sae when he was back. In love with Sae, Kanji follows her around, trying to win her over. He takes care of Sae's dog, Sora, when her parents would no longer let her keep it. The dog walks with a little limp; one day when Sora tried to follow Sae, she threw a rock at its paw and injured it. Sae starts modeling and pretends she goes to college with Momo, when she is really still in high school. She meets Honda and works for CC as a model. She meets a guy named Takuma, and he later turns her down. Sae meets another guy named Shinji but realizes he never really liked her. All these ups and downs make Sae realize that Momo, Kairi, and Kanji are the only people who care for her."	Japanese
Black or White	2015	drama	Mike Binder	"Kevin Costner
Octavia Spencer
Bill Burr
Mpho Koaho"	Elliot Anderson (Kevin Costner) is widowed after a car crash leads to the death of his wife. Elliot raises his granddaughter Eloise as he struggles with his grief by binge-drinking. Elliot's world is turned upside-down when the child's black grandmother, Rowena (Octavia Spencer), demands that Eloise be brought under the care of her father, Rowena's son, Reggie (Andre Holland), a drug addict whom Elliot blames for the negligence that led to the death of his own daughter. Elliot finds himself deeply entrenched in a custody battle and will stop at nothing to keep his granddaughter from coming under the watch of her reckless father.	American
Her Love Boils Bathwater	2016	drama	Ryōta Nakano	Rie Miyazawa, Hana Sugisaki, Joe Odagiri, Tori Matsuzaka, Aoi Itō, Yukiko Shinohara	After Futaba is diagnosed with cancer, she hopes to reunite with her estranged husband and bond with their teenage daughter.	Japanese
Iqaluit	2016	drama	Benoît Pilon	Marie-Josée Croze, Natar Ungalaaq	"Gilles is a French Canadian working in Nunavut while his wife, Carmen, lives in Montreal and leads a career in marketing. Word reaches Carmen that Gilles has suffered a head injury, and she travels north to see him. At the hospital, she sees him die, and the authorities plan an autopsy since the cause of death is uncertain. While in Iqaluit, Carmen meets an Inuit man, Noah, who worked with Gilles and regarded him as a good friend, and learns Gilles had accumulated a collection of carvings.
Carmen notices Noah's 20-year-old niece Ani, and his grown son Dany, and discovers Gilles had an affair with Ani. They had a son, Simigaq, though Carmen and Gilles never had any children. The affair ended after the birth of the child, with Gilles offering financial support and buying carvings to help the family. Carmen confides in Noah at the local bar, with Noah explaining he adopted Ani to rescue her from her abusive father. Carmen expresses her sorrow and anger at Gilles, after which Noah takes her to a remote location. There, he sets up a tent and fishes, but admits he has little knowledge of Inuit custom, as he was placed in a residential school as a boy. Noah's family arrive at the site in a state of panic, telling him Dany has abducted Ani and Simigaq into the wilderness, armed with a rifle. Weary of involving the RCMP, Noah believes he can reason with Dany, and Carmen insists on accompanying him.
When Noah and Carmen find Dany and Ani, Dany asserts he can live on the land and evade the authorities. Carmen asks him what he did to Gilles, with Dany replying Gilles' death was an accident, but the police would never believe him. As the situation begins to de-escalate, Carmen speaks to Ani, who witnessed Gilles' death. Dany was pressing Gilles for money before accusing him and other whites of coming to the Arctic and seducing local women, including Ani. The argument led to shoving, during which Gilles tripped and fell over a cliff. After Dany is defused, the group takes boats back to the mainland, with Carmen asking Ani if Simigaq will ever know about Gilles. Ani replies she and everyone in the community will tell Simigaq about Gilles."	Canadian
Little Accidents	2015	drama	Sarah Colangelo	"Elizabeth Banks
Boyd Holbrook
Chloë Sevigny
Josh Lucas"	In a small American town still living in the shadow of a terrible coal mine accident, the disappearance of a teenage boy draws together a surviving miner, the lonely wife of a mine executive, and a local boy in a web of secrets.	American
GANTZ: O and Morrison Steel: The Greatest Years of My Life	2016	drama	Keiichi Sato	Daisuke Ono, M.A.O, Tomohiro Kaku, Saori Hayami, Shuuichi Ikeda, Masane Tsukayama	"While fighting invading monsters, Kei Kurono rescues his friend, Reika. Though she protests, he attacks the monsters' leader, dying after killing it. Reika and her surviving teammates are teleported back to their base. Elsewhere, Masaru Kato dies attempting to save someone from a knife attack in a subway. He wakes up in a room with Reika and her teammates: Yoshikazu Suzuki, an old man; Joichiro Nishi, a surly teenager; and an angry, unidentified man. Suzuki explains that they have each died and woken in the room, and have been forced to fight against waves of monsters ever since. Before Suzuki can explain further, a black orb identified as ""Gantz"" announces that their next mission is about to begin. The angry man refuses to participate and is killed by Nishi, who reasons that he would have been a liability.
After putting on skintight suits containing advanced technology, the group is teleported to Osaka. When Kato presses for answers, Nishi threatens to kill him. Suzuki quickly explains the ""game"": the team is given two hours to kill every monster in the city; if they fail, the team members die. After Kato and his team meet another team, some of whom have exotic weapons, Suzuki tells him that players accrue points for killing monsters. Anyone who scores 100 points can choose from three bonuses: upgraded weaponry, resurrection of a fallen teammate, or freedom from the ""game"".
Nishi turns invisible to stealthily wait for high point monsters. The others watch as the better-equipped Osaka team easily slaughters monsters. Reika and Suzuki urge Kato to not engage the monsters needlessly, but he insists that they rescue the city's citizens. They refuse, saying they are too weak.
Anzu Yamasaki, a member of the Osaka team, follows Kato, trying to figure out his motivation. Kato says he is a student who has been living alone with his younger brother since the death of their parents. Yamasaki reveals that she has a young son and says they have something in common: both must stay alive to help someone who depends on them. Although Yamasaki initially believes that Kato is showing off, she eventually concludes that he genuinely wants to help others and joins him in killing a monster that was menacing civilians.
A gigantic monster rises from the water, and an equally large mecha appears, piloted by seven-time winner Hachiro Oka. Oka kills the monster but loses his mecha. In the mean time, another monster kills the two most competent players on the Osaka team.
Oka, wounded and weaponless, engages the lead monster, who appears in a series of increasingly deadly forms. Oka appears to win but tells the team it is not dead; it must be taken by surprise to be truly killed. After rising, the demon easily defeats the remaining players. Suzuki is heavily wounded after sacrificing himself to save Kato, and Nishi's arm is ripped off. Instead of killing them, it goes after Oka, who has left to retrieve better weapons.
Knowing someone must defeat the demon and Oka may be too wounded, Kato decides to act as a decoy while Reika and Yamasaki snipe the monster. Before the plan begins, Yamasaki proposes that, if she and Kato survive, they begin living together with her son and Kato's brother. Although surprised, Kato agrees, and they take their positions.
The demon, having killed Oka, attacks Kato, and the others shoot it from a distance. Before dying, the demon kills Yamasaki and maims Kato. Kato collapses beside Yamasaki's body, and the others assume him dead. Reika, Suzuki, and Nishi are surprised when he rejoins them at the base, where all are fully healed. When the scores are tallied up, Kato has 100 points; Reika and Suzuki encourage him to choose his freedom, but he resurrects Yamasaki. After Gantz allows them to leave, Kato races to his brother. The others reveal that this is Kato's second time in Gantz' game: after winning a previous game, he was granted his freedom and had his memories wiped. Although they do not know how he returned, they state that his self-sacrificing nature remains the same."	Japanese
